repetition.cond,subject,trial,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
2,17,4,0,0,1,0,0,1,0,0,1,0,0
2,17,5,0,0,1,0,0,1,0,0,1,0,0
2,17,6,0,0,1,1,0,1,0,0,1,0,0
2,17,7,0,0,1,1,0,1,0,0,1,0,0
2,17,8,0,0,1,0,0,1,0,0,1,1,0
2,17,9,0,0,1,1,0,1,0,0,1,0,1
2,17,10,0,0,1,1,0,1,0,0,1,1,0
2,18,1,0,0,1,0,0,1,0,0,1,0,0
2,18,2,0,0,1,0,0,1,0,0,1,0,0
2,18,3,0,0,1,0,0,1,0,0,1,0,0
2,18,4,0,0,1,0,0,1,0,0,1,0,0
2,18,5,0,0,1,0,0,1,0,0,1,0,0
2,18,6,0,0,1,0,0,1,0,0,1,0,0
2,18,7,0,0,0,0,0,1,0,0,1,0,0
2,18,8,0,0,1,0,0,1,0,0,1,0,0
2,18,9,0,0,1,0,0,1,0,0,1,0,0
2,18,10,0,0,1,0,0,1,0,0,1,0,0
2,19,1,0,0,1,0,0,1,0,0,1,1,0
2,19,2,1,0,0,1,0,1,0,0,1,1,0
2,19,3,0,0,0,1,0,1,0,0,0,1,0
2,19,4,0,0,0,1,0,1,0,0,1,1,0
2,19,5,0,0,1,0,0,0,1,0,0,1,0
2,19,6,0,0,1,0,0,1,0,0,0,0,0
2,19,7,0,0,0,1,0,1,0,1,1,0,0
2,19,8,0,0,1,0,0,0,0,1,0,1,0
2,19,9,0,1,1,0,0,0,1,0,1,1,0
2,19,10,0,0,0,1,0,1,0,0,0,1,0
2,20,1,1,0,1,0,0,1,0,0,1,0,0
2,20,2,1,0,1,0,0,1,1,0,1,0,0
2,20,3,0,0,1,0,0,1,1,0,0,0,0
2,20,4,0,0,1,0,0,1,1,0,1,0,0
2,20,5,0,1,0,0,1,1,0,0,1,0,0
2,20,6,0,0,1,1,0,1,0,0,1,0,0
2,20,7,0,0,1,0,0,1,0,0,1,0,0
2,20,8,1,1,1,0,0,1,0,0,1,0,0
2,20,9,0,0,1,0,0,1,1,0,1,0,0
2,20,10,0,0,1,0,0,1,0,0,1,0,0
2,21,1,1,0,1,0,0,1,0,1,1,0,0
2,21,2,0,1,0,1,0,0,1,0,0,1,0
2,21,3,0,0,0,1,0,1,0,1,0,0,0
2,21,4,0,1,0,1,0,1,0,0,0,1,0
2,21,5,0,1,0,1,0,1,0,1,0,0,0
2,21,6,0,0,0,1,0,1,0,1,0,1,0
